Client_Name,Client_Type,Completeness_Documents,Frequency_Update,Incident_History,Complaints,Income,Operational_Risk,Last_KYC_Update,Next_KYC_Update,KYC_Status,Document_Type,Document_Issue_Date,Document_Expiry_Date,Document_Status
Cliente_0021,individual,partial,recent,none,0,low,low,2025-02-14,2030-02-14,Em dia,CNI,2021-02-14,2026-02-14,Quase Expirando
Cliente_0022,individual,complete,recent,none,2,low,low,2022-02-14,2027-02-14,Em dia,CNI,2023-02-14,2028-02-14,Válido
Cliente_0023,individual,missing,never,none,0,low,high,2022-02-14,2023-02-14,Atrasado,Prova Emigrante,2024-02-14,2029-02-14,Válido
Cliente_0024,individual,partial,recent,none,1,medium,low,2026-02-14,2031-02-14,Em dia,Certidão Comercial,2022-02-14,2027-02-14,Válido
Cliente_0025,individual,missing,stale,none,0,medium,medium,2022-02-14,2024-02-14,Atrasado,BI,2022-02-14,2027-02-14,Válido
Cliente_0026,corporate,complete,recent,minor,2,low,low,2025-02-14,2030-02-14,Em dia,Certidão Comercial,2019-02-14,2024-02-14,Expirado
Cliente_0027,individual,complete,never,none,2,medium,medium,2021-02-14,2023-02-14,Atrasado,CNI,2024-02-14,2029-02-14,Válido
Cliente_0028,individual,complete,never,none,2,high,medium,2021-02-14,2023-02-14,Atrasado,BI,2026-02-14,2031-02-14,Válido
Cliente_0029,individual,partial,stale,none,0,medium,medium,2021-02-14,2023-02-14,Atrasado,Certidão Nascimento,2017-02-14,2022-02-14,Expirado
Cliente_0030,individual,complete,stale,none,2,medium,low,2022-02-14,2027-02-14,Em dia,Certidão Comercial,2017-02-14,2022-02-14,Expirado
Cliente_0031,individual,complete,recent,none,4,high,low,2023-02-14,2028-02-14,Em dia,Certidão Comercial,2017-02-14,2022-02-14,Expirado
Cliente_0032,individual,complete,never,minor,0,medium,medium,2025-02-14,2027-02-14,Em dia,Certidão Comercial,2023-02-14,2028-02-14,Válido
Cliente_0033,individual,complete,never,none,1,low,medium,2023-02-14,2025-02-14,Atrasado,CNI,2016-02-14,2021-02-14,Expirado
Cliente_0034,corporate,partial,never,minor,1,medium,high,2022-02-14,2023-02-14,Atrasado,BI,2022-02-14,2027-02-14,Válido
Cliente_0035,vip,complete,stale,none,0,low,low,2024-02-14,2029-02-14,Em dia,Certidão Nascimento,2019-02-14,2024-02-14,Expirado
Cliente_0036,corporate,complete,recent,none,2,medium,low,2020-02-14,2025-02-14,Atrasado,CNI,2020-02-14,2025-02-14,Expirado
Cliente_0037,individual,partial,never,none,1,high,medium,2020-02-14,2022-02-14,Atrasado,Certidão Nascimento,2018-02-14,2023-02-14,Expirado
Cliente_0038,individual,missing,recent,none,2,low,medium,2026-02-14,2028-02-14,Em dia,Passaporte,2019-02-14,2024-02-14,Expirado
Cliente_0039,individual,partial,stale,minor,2,low,medium,2020-02-14,2022-02-14,Atrasado,Passaporte,2026-02-14,2031-02-14,Válido
Cliente_0040,individual,missing,recent,none,1,low,medium,2020-02-14,2022-02-14,Atrasado,Certidão Nascimento,2025-02-14,2030-02-14,Válido
Cliente_0041,individual,partial,never,none,1,low,medium,2025-02-14,2027-02-14,Em dia,Passaporte,2022-02-14,2027-02-14,Válido
Cliente_0042,individual,complete,recent,none,0,medium,low,2021-02-14,2026-02-14,A vencer,BI,2020-02-14,2025-02-14,Expirado
Cliente_0043,individual,complete,recent,none,1,medium,low,2023-02-14,2028-02-14,Em dia,BI,2024-02-14,2029-02-14,Válido
Cliente_0044,corporate,partial,stale,none,3,low,medium,2024-02-14,2026-02-14,A vencer,CNI,2020-02-14,2025-02-14,Expirado
Cliente_0045,individual,partial,stale,none,2,medium,medium,2024-02-14,2026-02-14,A vencer,Certidão Nascimento,2023-02-14,2028-02-14,Válido
Cliente_0046,individual,partial,stale,none,2,low,medium,2025-02-14,2027-02-14,Em dia,CNI,2016-02-14,2021-02-14,Expirado
Cliente_0047,individual,complete,recent,none,1,high,low,2025-02-14,2030-02-14,Em dia,BI,2018-02-14,2023-02-14,Expirado
Cliente_0048,individual,complete,recent,none,1,low,low,2020-02-14,2025-02-14,Atrasado,BI,2023-02-14,2028-02-14,Válido
Cliente_0049,individual,complete,stale,none,1,medium,low,2024-02-14,2029-02-14,Em dia,BI,2016-02-14,2021-02-14,Expirado
Cliente_0050,individual,complete,never,none,3,low,medium,2026-02-14,2028-02-14,Em dia,Certidão Comercial,2018-02-14,2023-02-14,Expirado
Cliente_0051,vip,complete,never,minor,3,low,medium,2026-02-14,2028-02-14,Em dia,Passaporte,2026-02-14,2031-02-14,Válido
Cliente_0052,corporate,partial,recent,none,2,medium,low,2023-02-14,2028-02-14,Em dia,CNI,2020-02-14,2025-02-14,Expirado
Cliente_0053,corporate,complete,never,none,1,medium,medium,2026-02-14,2028-02-14,Em dia,CNI,2021-02-14,2026-02-14,Quase Expirando
Cliente_0054,corporate,complete,recent,minor,1,high,low,2024-02-14,2029-02-14,Em dia,BI,2019-02-14,2024-02-14,Expirado
Cliente_0055,individual,complete,stale,none,4,medium,low,2020-02-14,2025-02-14,Atrasado,Certidão Comercial,2018-02-14,2023-02-14,Expirado
Cliente_0056,corporate,partial,recent,none,1,high,low,2024-02-14,2029-02-14,Em dia,CNI,2019-02-14,2024-02-14,Expirado
Cliente_0057,individual,complete,recent,none,0,high,low,2022-02-14,2027-02-14,Em dia,Prova Emigrante,2021-02-14,2026-02-14,Quase Expirando
Cliente_0058,individual,complete,stale,none,1,medium,low,2024-02-14,2029-02-14,Em dia,CNI,2017-02-14,2022-02-14,Expirado
Cliente_0059,individual,complete,stale,none,0,medium,low,2020-02-14,2025-02-14,Atrasado,Certidão Comercial,2018-02-14,2023-02-14,Expirado
Cliente_0060,individual,complete,recent,none,1,medium,low,2026-02-14,2031-02-14,Em dia,BI,2021-02-14,2026-02-14,Quase Expirando
Cliente_0061,individual,missing,recent,none,0,low,medium,2021-02-14,2023-02-14,Atrasado,Certidão Comercial,2020-02-14,2025-02-14,Expirado
Cliente_0062,individual,missing,recent,none,0,high,medium,2023-02-14,2025-02-14,Atrasado,Passaporte,2022-02-14,2027-02-14,Válido
Cliente_0063,corporate,complete,stale,none,0,medium,low,2022-02-14,2027-02-14,Em dia,CNI,2024-02-14,2029-02-14,Válido
Cliente_0064,individual,complete,recent,none,0,medium,low,2026-02-14,2031-02-14,Em dia,Passaporte,2026-02-14,2031-02-14,Válido
Cliente_0065,individual,partial,recent,none,1,low,low,2023-02-14,2028-02-14,Em dia,CNI,2021-02-14,2026-02-14,Quase Expirando
Cliente_0066,individual,complete,stale,none,1,medium,low,2026-02-14,2031-02-14,Em dia,Passaporte,2017-02-14,2022-02-14,Expirado
Cliente_0067,individual,complete,stale,none,2,low,low,2022-02-14,2027-02-14,Em dia,CNI,2023-02-14,2028-02-14,Válido
Cliente_0068,corporate,complete,stale,none,2,medium,low,2024-02-14,2029-02-14,Em dia,Prova Emigrante,2026-02-14,2031-02-14,Válido
Cliente_0069,individual,missing,stale,none,2,medium,medium,2020-02-14,2022-02-14,Atrasado,BI,2022-02-14,2027-02-14,Válido
Cliente_0070,vip,complete,never,minor,0,low,medium,2021-02-14,2023-02-14,Atrasado,Prova Emigrante,2026-02-14,2031-02-14,Válido
Cliente_0071,corporate,complete,never,minor,0,high,medium,2022-02-14,2024-02-14,Atrasado,Certidão Nascimento,2019-02-14,2024-02-14,Expirado
Cliente_0072,individual,partial,never,none,1,medium,medium,2020-02-14,2022-02-14,Atrasado,Certidão Comercial,2018-02-14,2023-02-14,Expirado
Cliente_0073,individual,complete,stale,none,0,high,low,2024-02-14,2029-02-14,Em dia,CNI,2021-02-14,2026-02-14,Quase Expirando
Cliente_0074,corporate,complete,recent,none,1,low,low,2022-02-14,2027-02-14,Em dia,Certidão Comercial,2017-02-14,2022-02-14,Expirado
Cliente_0075,corporate,missing,never,minor,0,medium,high,2025-02-14,2026-02-14,A vencer,CNI,2023-02-14,2028-02-14,Válido
Cliente_0076,corporate,complete,recent,none,0,medium,low,2021-02-14,2026-02-14,A vencer,Certidão Nascimento,2024-02-14,2029-02-14,Válido
Cliente_0077,corporate,partial,recent,none,4,medium,low,2026-02-14,2031-02-14,Em dia,BI,2025-02-14,2030-02-14,Válido
Cliente_0078,individual,complete,recent,none,0,low,low,2026-02-14,2031-02-14,Em dia,BI,2023-02-14,2028-02-14,Válido
Cliente_0079,individual,complete,recent,none,2,low,low,2021-02-14,2026-02-14,A vencer,Certidão Comercial,2016-02-14,2021-02-14,Expirado
Cliente_0080,individual,complete,never,none,2,high,medium,2025-02-14,2027-02-14,Em dia,Prova Emigrante,2023-02-14,2028-02-14,Válido
Cliente_0081,corporate,complete,stale,none,0,low,low,2020-02-14,2025-02-14,Atrasado,Certidão Nascimento,2022-02-14,2027-02-14,Válido
Cliente_0082,individual,complete,stale,none,0,high,low,2024-02-14,2029-02-14,Em dia,Certidão Comercial,2018-02-14,2023-02-14,Expirado
Cliente_0083,individual,partial,stale,none,1,low,medium,2026-02-14,2028-02-14,Em dia,BI,2026-02-14,2031-02-14,Válido
Cliente_0084,individual,complete,recent,none,1,high,low,2020-02-14,2025-02-14,Atrasado,Passaporte,2023-02-14,2028-02-14,Válido
Cliente_0085,individual,complete,recent,none,1,medium,low,2025-02-14,2030-02-14,Em dia,Certidão Comercial,2017-02-14,2022-02-14,Expirado
Cliente_0086,individual,complete,stale,none,4,medium,low,2020-02-14,2025-02-14,Atrasado,CNI,2020-02-14,2025-02-14,Expirado
Cliente_0087,corporate,partial,stale,none,0,low,medium,2026-02-14,2028-02-14,Em dia,BI,2021-02-14,2026-02-14,Quase Expirando
Cliente_0088,individual,complete,recent,none,0,high,low,2023-02-14,2028-02-14,Em dia,CNI,2024-02-14,2029-02-14,Válido
Cliente_0089,corporate,complete,stale,none,0,medium,low,2024-02-14,2029-02-14,Em dia,Certidão Nascimento,2024-02-14,2029-02-14,Válido
Cliente_0090,individual,complete,recent,none,1,medium,low,2023-02-14,2028-02-14,Em dia,Prova Emigrante,2023-02-14,2028-02-14,Válido
Cliente_0091,individual,complete,recent,none,0,low,low,2021-02-14,2026-02-14,A vencer,Prova Emigrante,2017-02-14,2022-02-14,Expirado
Cliente_0092,corporate,complete,recent,none,2,medium,low,2020-02-14,2025-02-14,Atrasado,BI,2021-02-14,2026-02-14,Quase Expirando
Cliente_0093,corporate,partial,recent,none,1,high,low,2024-02-14,2029-02-14,Em dia,BI,2021-02-14,2026-02-14,Quase Expirando
Cliente_0094,individual,complete,never,none,1,low,medium,2025-02-14,2027-02-14,Em dia,Prova Emigrante,2017-02-14,2022-02-14,Expirado
Cliente_0095,corporate,complete,never,none,2,medium,medium,2024-02-14,2026-02-14,A vencer,Certidão Comercial,2026-02-14,2031-02-14,Válido
Cliente_0096,individual,complete,recent,none,1,low,low,2024-02-14,2029-02-14,Em dia,Prova Emigrante,2021-02-14,2026-02-14,Quase Expirando
Cliente_0097,individual,partial,stale,none,0,high,medium,2025-02-14,2027-02-14,Em dia,Prova Emigrante,2017-02-14,2022-02-14,Expirado
Cliente_0098,individual,complete,stale,none,1,high,low,2021-02-14,2026-02-14,A vencer,Certidão Comercial,2017-02-14,2022-02-14,Expirado
Cliente_0099,individual,complete,recent,none,3,low,low,2024-02-14,2029-02-14,Em dia,CNI,2024-02-14,2029-02-14,Válido
Cliente_0100,individual,complete,recent,none,0,low,low,2021-02-14,2026-02-14,A vencer,Certidão Comercial,2017-02-14,2022-02-14,Expirado
Cliente_0101,individual,complete,never,none,0,medium,medium,2021-02-14,2023-02-14,Atrasado,Passaporte,2023-02-14,2028-02-14,Válido
Cliente_0102,individual,complete,stale,none,0,low,low,2021-02-14,2026-02-14,A vencer,BI,2019-02-14,2024-02-14,Expirado
Cliente_0103,individual,complete,never,none,1,medium,medium,2026-02-14,2028-02-14,Em dia,Prova Emigrante,2018-02-14,2023-02-14,Expirado
Cliente_0104,individual,complete,recent,none,1,low,low,2022-02-14,2027-02-14,Em dia,Certidão Nascimento,2022-02-14,2027-02-14,Válido
Cliente_0105,corporate,complete,stale,minor,3,medium,medium,2021-02-14,2023-02-14,Atrasado,BI,2024-02-14,2029-02-14,Válido
Cliente_0106,individual,complete,recent,minor,3,low,low,2025-02-14,2030-02-14,Em dia,Prova Emigrante,2019-02-14,2024-02-14,Expirado
Cliente_0107,individual,complete,recent,none,1,low,low,2022-02-14,2027-02-14,Em dia,CNI,2026-02-14,2031-02-14,Válido
Cliente_0108,corporate,complete,stale,none,0,low,low,2021-02-14,2026-02-14,A vencer,Prova Emigrante,2025-02-14,2030-02-14,Válido
Cliente_0109,individual,partial,recent,none,3,medium,low,2025-02-14,2030-02-14,Em dia,Certidão Comercial,2026-02-14,2031-02-14,Válido
Cliente_0110,individual,missing,recent,none,2,medium,medium,2025-02-14,2027-02-14,Em dia,BI,2023-02-14,2028-02-14,Válido
Cliente_0111,individual,missing,recent,none,0,low,medium,2023-02-14,2025-02-14,Atrasado,Certidão Comercial,2017-02-14,2022-02-14,Expirado
Cliente_0112,individual,partial,recent,none,0,medium,low,2023-02-14,2028-02-14,Em dia,Prova Emigrante,2023-02-14,2028-02-14,Válido
Cliente_0113,corporate,partial,stale,minor,2,high,medium,2024-02-14,2026-02-14,A vencer,CNI,2026-02-14,2031-02-14,Válido
Cliente_0114,corporate,partial,recent,none,0,low,low,2021-02-14,2026-02-14,A vencer,Certidão Comercial,2018-02-14,2023-02-14,Expirado
Cliente_0115,individual,complete,recent,none,4,medium,low,2021-02-14,2026-02-14,A vencer,Certidão Nascimento,2019-02-14,2024-02-14,Expirado
Cliente_0116,corporate,partial,recent,none,1,medium,low,2022-02-14,2027-02-14,Em dia,Prova Emigrante,2026-02-14,2031-02-14,Válido
Cliente_0117,corporate,complete,recent,none,2,low,low,2025-02-14,2030-02-14,Em dia,CNI,2021-02-14,2026-02-14,Quase Expirando
Cliente_0118,individual,complete,stale,minor,2,low,medium,2021-02-14,2023-02-14,Atrasado,BI,2017-02-14,2022-02-14,Expirado
Cliente_0119,corporate,partial,recent,none,1,medium,low,2024-02-14,2029-02-14,Em dia,BI,2023-02-14,2028-02-14,Válido
Cliente_0120,individual,complete,stale,none,0,medium,low,2020-02-14,2025-02-14,Atrasado,Certidão Nascimento,2024-02-14,2029-02-14,Válido
Cliente_0121,corporate,complete,recent,none,2,low,low,2020-02-14,2025-02-14,Atrasado,Passaporte,2021-02-14,2026-02-14,Quase Expirando
Cliente_0122,corporate,missing,recent,none,4,high,medium,2020-02-14,2022-02-14,Atrasado,Certidão Comercial,2024-02-14,2029-02-14,Válido
Cliente_0123,individual,complete,never,none,0,medium,medium,2026-02-14,2028-02-14,Em dia,Prova Emigrante,2021-02-14,2026-02-14,Quase Expirando
Cliente_0124,individual,complete,stale,none,1,low,low,2025-02-14,2030-02-14,Em dia,BI,2026-02-14,2031-02-14,Válido
Cliente_0125,individual,missing,recent,none,1,low,medium,2020-02-14,2022-02-14,Atrasado,Prova Emigrante,2026-02-14,2031-02-14,Válido
Cliente_0126,individual,partial,never,none,2,low,medium,2026-02-14,2028-02-14,Em dia,Certidão Nascimento,2024-02-14,2029-02-14,Válido
Cliente_0127,corporate,complete,recent,none,2,medium,low,2020-02-14,2025-02-14,Atrasado,Certidão Comercial,2017-02-14,2022-02-14,Expirado
Cliente_0128,corporate,complete,never,none,0,medium,medium,2024-02-14,2026-02-14,A vencer,CNI,2024-02-14,2029-02-14,Válido
Cliente_0129,individual,complete,stale,minor,1,medium,medium,2023-02-14,2025-02-14,Atrasado,Prova Emigrante,2025-02-14,2030-02-14,Válido
Cliente_0130,individual,partial,stale,none,0,medium,medium,2024-02-14,2026-02-14,A vencer,Certidão Nascimento,2018-02-14,2023-02-14,Expirado
Cliente_0131,individual,complete,never,none,0,low,medium,2026-02-14,2028-02-14,Em dia,CNI,2021-02-14,2026-02-14,Quase Expirando
Cliente_0132,individual,complete,recent,major,2,medium,medium,2025-02-14,2027-02-14,Em dia,CNI,2025-02-14,2030-02-14,Válido
Cliente_0133,individual,complete,stale,minor,0,low,medium,2022-02-14,2024-02-14,Atrasado,CNI,2021-02-14,2026-02-14,Quase Expirando
Cliente_0134,individual,complete,recent,none,2,low,low,2021-02-14,2026-02-14,A vencer,Certidão Comercial,2016-02-14,2021-02-14,Expirado
Cliente_0135,corporate,missing,recent,none,2,medium,medium,2024-02-14,2026-02-14,A vencer,Passaporte,2020-02-14,2025-02-14,Expirado
Cliente_0136,individual,complete,recent,none,3,low,low,2025-02-14,2030-02-14,Em dia,Prova Emigrante,2017-02-14,2022-02-14,Expirado
Cliente_0137,individual,partial,recent,none,0,medium,low,2021-02-14,2026-02-14,A vencer,CNI,2025-02-14,2030-02-14,Válido
Cliente_0138,corporate,complete,stale,none,3,high,low,2023-02-14,2028-02-14,Em dia,BI,2021-02-14,2026-02-14,Quase Expirando
Cliente_0139,individual,partial,stale,none,1,medium,medium,2023-02-14,2025-02-14,Atrasado,Certidão Comercial,2022-02-14,2027-02-14,Válido
Cliente_0140,vip,missing,stale,none,1,low,medium,2021-02-14,2023-02-14,Atrasado,Certidão Comercial,2021-02-14,2026-02-14,Quase Expirando
Cliente_0141,vip,complete,recent,none,2,low,low,2023-02-14,2028-02-14,Em dia,CNI,2024-02-14,2029-02-14,Válido
Cliente_0142,individual,complete,recent,major,0,low,medium,2025-02-14,2027-02-14,Em dia,BI,2024-02-14,2029-02-14,Válido
Cliente_0143,individual,complete,never,none,2,medium,medium,2024-02-14,2026-02-14,A vencer,Certidão Nascimento,2020-02-14,2025-02-14,Expirado
Cliente_0144,individual,partial,recent,none,0,medium,low,2025-02-14,2030-02-14,Em dia,Certidão Comercial,2016-02-14,2021-02-14,Expirado
Cliente_0145,individual,complete,stale,none,0,medium,low,2025-02-14,2030-02-14,Em dia,CNI,2019-02-14,2024-02-14,Expirado
Cliente_0146,individual,partial,stale,major,2,medium,high,2021-02-14,2022-02-14,Atrasado,Prova Emigrante,2016-02-14,2021-02-14,Expirado
Cliente_0147,individual,partial,stale,none,2,medium,medium,2022-02-14,2024-02-14,Atrasado,CNI,2021-02-14,2026-02-14,Quase Expirando
Cliente_0148,individual,partial,stale,none,2,high,medium,2022-02-14,2024-02-14,Atrasado,Prova Emigrante,2024-02-14,2029-02-14,Válido
Cliente_0149,individual,partial,never,minor,2,low,high,2024-02-14,2025-02-14,Atrasado,Prova Emigrante,2018-02-14,2023-02-14,Expirado
Cliente_0150,individual,complete,recent,none,0,high,low,2021-02-14,2026-02-14,A vencer,Passaporte,2017-02-14,2022-02-14,Expirado
Cliente_0151,corporate,complete,never,none,0,medium,medium,2022-02-14,2024-02-14,Atrasado,Passaporte,2021-02-14,2026-02-14,Quase Expirando
Cliente_0152,individual,complete,recent,minor,2,low,low,2023-02-14,2028-02-14,Em dia,Certidão Nascimento,2023-02-14,2028-02-14,Válido
Cliente_0153,individual,missing,recent,major,0,high,high,2022-02-14,2023-02-14,Atrasado,Certidão Nascimento,2016-02-14,2021-02-14,Expirado
Cliente_0154,individual,partial,recent,none,2,high,low,2023-02-14,2028-02-14,Em dia,Prova Emigrante,2017-02-14,2022-02-14,Expirado
Cliente_0155,vip,partial,stale,none,1,medium,medium,2024-02-14,2026-02-14,A vencer,Certidão Nascimento,2024-02-14,2029-02-14,Válido
Cliente_0156,individual,complete,recent,none,1,medium,low,2025-02-14,2030-02-14,Em dia,Certidão Nascimento,2020-02-14,2025-02-14,Expirado
Cliente_0157,individual,complete,recent,none,3,low,low,2025-02-14,2030-02-14,Em dia,CNI,2022-02-14,2027-02-14,Válido
Cliente_0158,corporate,partial,recent,none,1,low,low,2022-02-14,2027-02-14,Em dia,CNI,2022-02-14,2027-02-14,Válido
Cliente_0159,individual,complete,never,none,2,low,medium,2023-02-14,2025-02-14,Atrasado,CNI,2024-02-14,2029-02-14,Válido
Cliente_0160,corporate,complete,never,none,0,medium,medium,2026-02-14,2028-02-14,Em dia,BI,2024-02-14,2029-02-14,Válido
Cliente_0161,individual,partial,stale,none,2,medium,medium,2020-02-14,2022-02-14,Atrasado,Prova Emigrante,2026-02-14,2031-02-14,Válido
Cliente_0162,individual,complete,stale,none,1,low,low,2026-02-14,2031-02-14,Em dia,Certidão Nascimento,2017-02-14,2022-02-14,Expirado
Cliente_0163,individual,complete,recent,none,3,medium,low,2020-02-14,2025-02-14,Atrasado,BI,2020-02-14,2025-02-14,Expirado
Cliente_0164,individual,complete,recent,none,2,low,low,2026-02-14,2031-02-14,Em dia,Certidão Comercial,2017-02-14,2022-02-14,Expirado
Cliente_0165,individual,complete,never,none,1,low,medium,2025-02-14,2027-02-14,Em dia,Prova Emigrante,2026-02-14,2031-02-14,Válido
Cliente_0166,corporate,missing,recent,none,2,low,medium,2021-02-14,2023-02-14,Atrasado,Certidão Comercial,2024-02-14,2029-02-14,Válido
Cliente_0167,individual,complete,recent,none,3,low,low,2025-02-14,2030-02-14,Em dia,CNI,2017-02-14,2022-02-14,Expirado
Cliente_0168,individual,complete,recent,none,1,low,low,2020-02-14,2025-02-14,Atrasado,Certidão Comercial,2021-02-14,2026-02-14,Quase Expirando
Cliente_0169,individual,complete,recent,none,2,low,low,2021-02-14,2026-02-14,A vencer,CNI,2017-02-14,2022-02-14,Expirado
Cliente_0170,individual,partial,recent,none,1,low,low,2023-02-14,2028-02-14,Em dia,Prova Emigrante,2023-02-14,2028-02-14,Válido
Cliente_0171,individual,complete,stale,none,2,low,low,2022-02-14,2027-02-14,Em dia,Prova Emigrante,2016-02-14,2021-02-14,Expirado
Cliente_0172,individual,complete,recent,none,2,low,low,2026-02-14,2031-02-14,Em dia,Certidão Nascimento,2017-02-14,2022-02-14,Expirado
Cliente_0173,individual,complete,stale,none,0,high,low,2023-02-14,2028-02-14,Em dia,BI,2025-02-14,2030-02-14,Válido
Cliente_0174,individual,complete,recent,none,1,low,low,2023-02-14,2028-02-14,Em dia,CNI,2019-02-14,2024-02-14,Expirado
Cliente_0175,individual,complete,recent,major,0,medium,medium,2022-02-14,2024-02-14,Atrasado,Passaporte,2024-02-14,2029-02-14,Válido
Cliente_0176,individual,partial,recent,none,3,low,low,2023-02-14,2028-02-14,Em dia,Passaporte,2021-02-14,2026-02-14,Quase Expirando
Cliente_0177,individual,partial,stale,none,1,low,medium,2022-02-14,2024-02-14,Atrasado,Certidão Nascimento,2025-02-14,2030-02-14,Válido
Cliente_0178,individual,complete,recent,none,0,low,low,2024-02-14,2029-02-14,Em dia,BI,2023-02-14,2028-02-14,Válido
Cliente_0179,corporate,complete,stale,none,1,high,low,2022-02-14,2027-02-14,Em dia,CNI,2021-02-14,2026-02-14,Quase Expirando
Cliente_0180,individual,missing,stale,none,1,low,medium,2020-02-14,2022-02-14,Atrasado,Certidão Nascimento,2021-02-14,2026-02-14,Quase Expirando
Cliente_0181,individual,complete,stale,none,2,medium,low,2026-02-14,2031-02-14,Em dia,BI,2024-02-14,2029-02-14,Válido
Cliente_0182,individual,partial,recent,none,1,medium,low,2021-02-14,2026-02-14,A vencer,Passaporte,2016-02-14,2021-02-14,Expirado
Cliente_0183,corporate,complete,recent,none,2,low,low,2021-02-14,2026-02-14,A vencer,CNI,2025-02-14,2030-02-14,Válido
Cliente_0184,corporate,missing,recent,none,2,high,medium,2026-02-14,2028-02-14,Em dia,BI,2016-02-14,2021-02-14,Expirado
Cliente_0185,individual,partial,stale,none,1,low,medium,2021-02-14,2023-02-14,Atrasado,Certidão Comercial,2016-02-14,2021-02-14,Expirado
Cliente_0186,individual,missing,recent,none,0,low,medium,2022-02-14,2024-02-14,Atrasado,CNI,2021-02-14,2026-02-14,Quase Expirando
Cliente_0187,corporate,partial,never,none,2,low,medium,2020-02-14,2022-02-14,Atrasado,Certidão Comercial,2019-02-14,2024-02-14,Expirado
Cliente_0188,individual,complete,never,none,1,low,medium,2024-02-14,2026-02-14,A vencer,Prova Emigrante,2026-02-14,2031-02-14,Válido
Cliente_0189,individual,missing,recent,none,3,low,medium,2020-02-14,2022-02-14,Atrasado,Prova Emigrante,2022-02-14,2027-02-14,Válido
Cliente_0190,individual,complete,recent,none,2,medium,low,2021-02-14,2026-02-14,A vencer,Prova Emigrante,2023-02-14,2028-02-14,Válido
Cliente_0191,individual,complete,stale,major,2,low,medium,2024-02-14,2026-02-14,A vencer,Certidão Nascimento,2023-02-14,2028-02-14,Válido
Cliente_0192,corporate,partial,recent,none,1,medium,low,2026-02-14,2031-02-14,Em dia,BI,2025-02-14,2030-02-14,Válido
Cliente_0193,corporate,partial,recent,none,0,low,low,2024-02-14,2029-02-14,Em dia,Prova Emigrante,2021-02-14,2026-02-14,Quase Expirando
Cliente_0194,individual,missing,never,none,0,high,high,2023-02-14,2024-02-14,Atrasado,BI,2022-02-14,2027-02-14,Válido
